id_tweet,text,task1,anio
3466,"Mi cuerpo no se toca, no se viola,no se mata.Si conoces algún caso o sufres de violencia DENUNCIA.Estamos para ayudarte PorTíPorMíPorTodasDenunciaLaViolencia Justicia YoSiTeCreo NoEsNo",non-sexist,2021
3467,Bonita versión alternativa de mansplaining:3 Señoros diciéndole a un señor (un señor estudiao y con criterio) que su perspectiva de género no es la perspectiva fetén. Spoiler: Vaya que sí,non-sexist,2021
3468,"No seas Simp, ni mangina, mejor sigue tu propio camino! mgtow pildoraroja redpill",non-sexist,2021
3469,"Ábalos y la nenaza riéndose a la par que se le dicen verdades.Y luego se vanaglorian de ser el gobierno de la dignidad, aunque Ábalos y dignidad son la más absoluta antítesis. Ábalos o socialismo, da igual el sustantivo que se utilice.",non-sexist,2021
3470,"En los últimos años, Rusia ha sido escenario de varios de los juicios por asesinatos en serie con más víctimas en el mundo, incluyendo un caso con 78 víctimas, y otro con 48.",non-sexist,2021
3471,ummmm q serradita amor se mira q eres muy estrecha,sexist,2021
3472,"¡A ti, mujer luchadora! (Jorge Acuña)""Mujer trabajadora, rebelde y soñadoraLlena de defectos y grandes virtudesLlena de amor y comprensiónLlena de coherencia y firme convicciónDe un profundo compromiso con la revolución""DiciembreVictorioso",non-sexist,2021
3473,"NARANJA QUE TE QUIERO NARANJA Bueno, yo siempre he dicho que Claudia es una mujer atractiva.. pero el maese Magú se empecina en hacer unos monos re gruesos..Verde que te quiero, verde..Era el refrán.. no?En fin, lindo cartón..Va.. putitos con tos..",non-sexist,2021
3474,Noche golfa?,non-sexist,2021
3475,"""Cuando las mujeres han podido comprar sus propias prendas deportivas en alguna tienda deben conformarse con la talla masculina más chica, porque la oferta para mujeres no existe""; un texto de texto de",sexist,2021
3476,"Ataraxia:Me evado bajo la membrana rígidadel agua frígida de la que emanadichosa psique que desmiembra mi calmacada mañana y madrugada,y la envuelve en cálidas sábanascreadas en las costurasde tus palabras a mi alma.",non-sexist,2021
3477,Busco mujer que viva en Torrevieja o cerca de Alicante para follar,sexist,2021
3478,Este Néstor Humberto es la peor escoria,non-sexist,2021
3479,Chicas me había olvidado l letra de this is what it takes la puta madre,non-sexist,2021
3480,Gracias por apoyar a las mujeres q más lo necesitan,non-sexist,2021
3481,Siempre frida nunca frigida! ♥,non-sexist,2021
3482,"busco mujer q quiera ser felizrequisistos para estar con santi dumrauf:*edad:16-30*estatura:1,60-1.79*tetas y culo me da igual*q se lave los dientes*q sea de sagitario libra acuario aries o virgo (mm)*q le guste follar duro y salvaje y también tierno y mimoso.",sexist,2021
3483,"[Pedicabo ego vos et irrumabo] es una frase latina muy popular. Hay traducciones muy pasionales, así como hay otras más cercanas al texto latino. ""Paedico"" se traduce como sodomizar e ""irrumo"" se traduce como insertar violentamente un pene dentro de la boca.",non-sexist,2021
3484,"Además no entiendo, porque se legalice el aborto no van a salir todas las mujeres a abortar, todo lo contrario, en los países que es legal se aborta menos, entonces deberian apoyar la legalización, aparte es sencillo, quien no quiera abortar que no aborte, no te obligan",non-sexist,2021
3485,Es impresionante como algo tan fantástico como el satisfyer llega a convertirse en un aparato de tortura en las manos de un hombre oye... Ni eso hacen bien.,non-sexist,2021
3486,"Es que dentro de poco, vamos a tener que castrarnos, por ser solamente hombres... Que hay mucho hijo de puta violador, maltratador etc... Lo sabemos todos, pero se están pasando con el feminismo radical",sexist,2021
3487,"Si el hombre siempre ha sido el ser superior y dominante, y la mujer la ""sumisa""... ¿Cómo se equilibra esto buscando la igualdad y que ninguno sea superior a otro? Pues protegiendo a la mujer, no vas a proteger al hombre...",sexist,2021
3488,Quiso censurar. Monasterio valiente como pocas.La verdadera mujer empoderada!,non-sexist,2021
3489,"qué tan mierda de persona tenes que ser para desearle eso a 4 mujeres que nunca te hicieron nada? y aún así no las quieras o no las aguantes NUNCA deberían hablar así de ellas ni de ninguna otra mujerme importa un choto si lo decía posta o para joder, se van a la mierda ls odio",sexist,2021
3490,"Queremos que más mujeres participen conmigo , no para que me vean bien las feministas es que la mujer es más entregada ( ¿ sometida?) más honesta , más obediente",sexist,2021
3491,¿Follar se puede o tampoco? Es que no me ha quedado claro,sexist,2021
3492,"JAJA Waka Waka esto es Africa. Que papel triste, mediocre, decadente hace esta mujer. Nada mejor puesto el mote de Florero.",sexist,2021
3493,"Hola, si consideras vulnerados tus derechos, inicia la vía administrativa enviando un derecho de petición ante ellos, deben responder en un término de 15 días hábiles, revisa en el ítem 3, información valiosa sobre cómo proceder: feliz tarde.",non-sexist,2021
3494,Desde que nacemos nos enseñan a diferenciar a la perfección de lo que está bien o lo que está mal.¿Sacar buenas notas? Perfecto.¿Que se comporta como una señorita? Bien.¿Que quiere llevar una falda corta?muy puta.¿Delgada? Éxito ¿Gorda?Perdedora¿Que llora?Infantil...,sexist,2021
3495,"Todo a su debido tiempo, a ti no te enseñaron nada 3 dias después de nacer, ya que no estaba en tus capacidades, es igual con el feto",non-sexist,2021
3496,"Volví a fumar, y sí, detesto el hábito y el daño que me hace a nivel físico, pero no puedo negar que amo el olor del tabaco en mi ropa mezclado con mi perfume. No hay explicación, pero me hace sentir atractiva.",non-sexist,2021
3497,Las feministas sin padre no piensan igual,sexist,2021
3498,"Pasamos por aquí para recordarte lo fuerte, poderosa y hermosa que eres. Nunca dudes de ti, y siéntete orgullosa de tu fuerza. ¡Etiqueta a las mujeres ejemplo de empoderamiento en tu vida y recuérdales lo hermosas que son por ello!",non-sexist,2021
3499,Mi primer terremoto y me he cagao como una guarra JAJAJAJAJAJA,non-sexist,2021
3500,"-Hola buenas, querría un poco de feminismo.- Del que busca la igualdad no nos queda- Pues ponme del de la Rae.- Puede ir con trazas de patriarcado.- Que patriarcado?- El Doleras- Bueno, mejor que el de Irantzu es, se traga mejor.- Donde va a parar!",sexist,2021
3501,"Igual insisto, los tratan mal pero quieren que les aplaudan. No se que opines tu pero suena hasta un tanto masoquista. Y la verdad no creo que todos los hombres sientan un nivel de superioridad a la mujer. Mas bien es un punto de vista en el cual tu puedes acordar o disuadir.",non-sexist,2021
3502,Jodeme que kim esta embarazada,non-sexist,2021
3503,"Come mierda pendejoHay andas regalando laminas, que putas va hacer la gente con 2 laminas",non-sexist,2021
3504,La chica sin M es hermosa,non-sexist,2021
3505,"Amigas:¿Por qué no dejan ya la matraca del ""sistema patriarcal""? Le dan la connotación de ser -los hombres- causantes de todos los males, desgracias y cuanto defectuoso se encuentre por ahí.",sexist,2021
3506,Le pido el mundo que preste mucha atención existen Houston esclavitud a la prostitución robó y mujeres y hombres deben de pagar una cuota diaria para poder vivir el jefe de estado en Houston se llama Daniel Crespo o Daniel 80 de la ciudad de Manzanillo en Cuba granma,non-sexist,2021
3507,q puta ahora tengo miedo,non-sexist,2021
3508,que bronca me da cuando netflix te pregunta ayññ seguis ahi?? y si mogolico donde poronga me voy a ir me haces sentir una gorda de mierda que no se levanta del sillon para nada igual eso es lo que soy pero tampoco para que me lo recuerdes viste,non-sexist,2021
3509,Rubia tonta a full !!!!,sexist,2021
3510,Anda muy rebelde tú mujer Tumba,sexist,2021
3511,"Están los medios q azuzan el odio y piden represión contra los q piden ViviendaSiRepresionNo y está junto a GuernicaDePie En la vida hay que elegir. Y nosotros elegimos: junto al pueblo trabajador, las valientes mujeres y las pibas y pibes que luchan x lo suyo",non-sexist,2021
3512,Rebelde? La niña ya es mujer verdadesocultas,non-sexist,2021
3513,"El mayor insulto, agravio o amenazas, es el nuevo KKK que pretende asesinar niños y mujeres por aborto, llamado feminismo.AbortoLegal2020",sexist,2021
3514,Me parece vergonzoso y además tirando de victimismo. Apoyar a la poesía o a autores minoritarios no te exime de cumplir contratos.,non-sexist,2021
3515,Voy por mi cumpleaños 63 y apoyo decididamente que cada mujer sea libre para decidir sobre su cuerpo. QueSeaLey,non-sexist,2021
3516,"Hoy visitamos la en el marco del Día Internacional de las Personas con Discapacidad. Junto a su comisión directiva, y , dialogamos sobre el trabajo por delante en materia de políticas públicas para mujeres y LGBTI+ con discapacidad.",non-sexist,2021
3517,"EducaciónInclusiva | Todos tenemos características diferentes, juntos construyamos un mundo con igualdad de derechos. Desde generamos aprendizajes significativos, mediante la convivencia armónica entre todos los miembros de la comunidad educativa. SembramosFuturo",non-sexist,2021
3518,"Hola, protege tus derechos enviando una queja al operador, te brindarán un CUN y deben responderte máximo en 15 días hábiles, si no estás de acuerdo con la gestión entra a SIC Facilita alternativa ágil de respuesta al ciudadano, feliz tarde.",non-sexist,2021
3519,"La UAC no tolerará conductas inapropiadas como el acoso y hostigamiento sexual, asegura el rector José Román Ruiz Carrillo al presidir la presentación del Diagnóstico de Acoso y Hostigamiento Sexual en estudiantes de la Máxima Casa de Estudios.",non-sexist,2021
3520,?Algun dia dejaras de doler tanto mes de diciembre? Solo soy una coraza de hierro para aguantar tus dias y mis lagrimas amenazan con asomar y mi mirada se pierde en tu recuerdo padre de mi alma.,non-sexist,2021
3521,Era incomodo ser mirado por mujer con esa misma mirada en medio de tantas mujeres y estar siendo modelo para estar usando ropas y cumpliendo trabajo.- Ella en su mente dijo: ¨Es igualito a su padre en el porte y la elegancia¨,non-sexist,2021
3522,"Fregar a las 12 de la noche es una personalidad y es la mía. Para luego volver a fregar a las 9 de la mañana, si.",non-sexist,2021
3523,"Hoy en el DíaInternacionalDiscapacidad recordemos que asambleistas y personajes del gobierno luego de engañar al estado, junto a la y cómplices en violar más derechos a los ciudadanos",non-sexist,2021
3524,Feministas Morelianas Exigen Al Congreso Legalización del AbortoLas feministas pasaron al rededor de 2 horas a fuera de las instalaciones del Congreso hasta que las dejaron entrar Toda la info:,non-sexist,2021
3525,"Tengo que trabajar sabado, lunes y martes Esto merece que MÍNIMO me ponga en blanco el hdrmp",non-sexist,2021
3526,siento q me caen todos para el culo pero hay q disimular,non-sexist,2021
3527,"La puta madre melo, estaba buscando este hilo lara etiquetarte y acabo de desistir porq lo habia perdido !!!",non-sexist,2021
3528,mi mamá es una amante de gatos reprimida. Prove me wrong,non-sexist,2021
3529,"Y se armo la fiesta a golpes LaManada en pleno, por la honra de Rosario LaHijaDelMariachi",non-sexist,2021
3530,"Tranquilo en su palacio, el sabe no está entre los 26 millones de ciudadanos, hombres, mujeres, niños, ancianos que quieren ASESINAR???",non-sexist,2021
3531,"¿Tú también reías cuando tu amo decía que iba a azotar hasta sangrar a una mujer? , ¿tú también azotas a las mujeres?",sexist,2021
3532,"la reconstrucción de personajes masculinos a femeninos (Spider Woman, Capitana Marvel, Supergirl...) apoya y cimenta la idea de que ciertas mujeres no pueden ser exitosas debido a ser mujeres y necesitan de hombres para construir su personalidad y su éxito",sexist,2021
3533,Miranda Cosgrove paso de ser una perra mala a una mojigata aljsdalkjdsd,sexist,2021
3534,"La mayoría de las veces juzgamos a los hombres y mujeres que viven una relación tóxica, en la que frecuentemente hay agresiones y malos tratos.Hoy te invitamos a no señalar y a ser empático, solo así podrás ayudarle a esa persona a reescribir su historia. . YoDigoNoMas",non-sexist,2021
3535,DE MÉXICO PARA EL MUNDO RESPETO YoSiTeCreo,non-sexist,2021
3536,"Fue muy triste , lo recuerdo, ""Hay hombres q no quieren a las mujeres"", no entiendo por qué de casan, este era de otra época, en la actual deberían pensarlo antes de casarseA la mujeres un consejo los ""príncipes azules no existen"" , cuidado con los q conocen...",non-sexist,2021
3537,Siguen fieles a su concepción estrecha eso si.,non-sexist,2021
3538,"Te quiero follar hasta romperte las piernas. Eres una niña mala, una niña mala, ¿Te gusta eso? Sí, te encanta. Maldita puta ofrecida. Vamos, gímeme, sigue gimiendo. No te detengas, pequeña zorra ofrecida. ¿Te gusta esto? Sí, te fascina, te excita, mh. /rugirle.",sexist,2021
3539,"Nooo las mujeres que te gustan son del estilo de la amante de tu papá, esa mujer que hablaba de la infección vaginal que le pego tu papá COMO SE LLAMA? ALGUIEN SABE?",sexist,2021
3540,la polla me menciona todo el mundo en esto jajajajajajaaj,non-sexist,2021
3541,"Gracias por la valentía de exponerte después de las cosas que se dijeron con respecto a las mujeres que deciden abortar.Que todo sirva para entender que el aborto existe, el debate es legal o clandestino.QueSeaLey Te abrazo",non-sexist,2021
3542,Estaré embarazada o por qué tendré tantas ganas de tener una plaza en el ISSSTE?,non-sexist,2021
3543,"Delinquir es violar la ley, sencillo; una pena que algo tan básico esté lejos de tu alcance.",non-sexist,2021
3544,Que fea prensa y la gente lo tiene como semidiós. Nunca voy a olvidar la carátula de su semanario donde veía los cuerpos ataúdes de los primeros muertos del coronavirus como la prensa chicha que él tanto se quejaba,non-sexist,2021
3545,"No entiendo la necesidad o el afán de decirle a la gente si está gorda o flaca, como si eso les afectara o que!",non-sexist,2021
3546,Esto solo aclara que como digna hija de Leopoldo ya era lugerita de chica,non-sexist,2021
3547,Jesús Vázquez .tú eres noble y dices lo que tú corazón siente Pantoja se merece esas palabras,non-sexist,2021
3548,"Esta muerto de miedo como tu club, que en un campo de juego fue vergonzoso y bien merecido el descenso, ahora es de hombre asumirlo y no estar de llorón con algunos periodistas para meter presión para que se mantengan son tan impresentable como Lozano.",non-sexist,2021
3549,"Si hoy no llevas corsé puede que sea gracias a ella, y si eres mujer y has estudiado en universidad española, en parte también...MujeresInvisiblesPioneras Dolors Aleu, la ginecóloga rebelde contra la opresión del corsé vía",non-sexist,2021
3550,"Esta GENERACIÓN LAGARTONA CONSERVADORA ya no debe tener espacio en el pais. Ya pasaron más de 30 anös y siguen con pensamientos cojudos, retrógrados, y explotadores del régimen laboral. Terminemos el 2021 con la GeneraciónASILO y enviémoslos a su casa for good!",non-sexist,2021
3551,"Respeto a la vida, a la dignidad del hombre (incluido la mujer) y libre desempeño de la personalidad. Eso es el chavismo para mi. Creo que el socialismo es solo una doctrina de organización social basados en principios científicos y morales con fines de convivencia armonica!",non-sexist,2021
3552,Qué es majors? Conozco majorettes. Por qué vas a criticar majorettes? metoo,non-sexist,2021
3553,"Las mujeres sordas, con baja audición, no verbales o sordociegas víctimas de maltrato pueden llamar al 016 con 900.116.016, SVisual, ALBA, Telesor, ATENPRO y la app PorMí. Al 112 con la app 112Accesible. Al 091 y 062 con SVIsual y app AlertCops. ViolenciaMachista Accesibilidad",non-sexist,2021
3554,DEJO QUE SU MUJER SE FUERA TODO EL FIN DE SEMANA A FOLLAR CON SU EX,sexist,2021
3555,"Díselo a tu marido, que además de soñar con azotar mujeres le gustaba mucho Maradona.",sexist,2021
3556,"Que onda con estas Fakeministas, por esto ahora van a querer ir a pintar, destruir y a golpear a las policías??? Porfavor no nos discrimine porque no todos los hombres somos iguales.",sexist,2021
3557,Yo no tengo estudio pero si leo (A los) hombres creo que es = a (todos los) si no es así alguien que me explique la diferencia por favor.,non-sexist,2021
3558,"ElJuegoDeChileEnTVN - Ahora comienza “Despistados”, cuando la competencia continúa muy estrecha. Sigue la señal en vivo",non-sexist,2021
3559,"Creo que para evitar estas cosas, hombres y mujeres deberían pasar pruebas de reducciones ante personas violentas, y el/la que no las pase prohibido patrullar en la calle, sin más.Porque esto puede salir así o puede ser que al compañero incluso le cosan a puñaladas, o algo peor.",non-sexist,2021
3560,Soy una guarra,non-sexist,2021
3561,"Como culé, estoy hasta la polla de leer comentarios así de llorones. Defender el estilo Barça no significa tener que atacar a todos los equipos que defienden, significa querer que el Barça obligue a todos a jugar así para frenarlo. El 2-8 nos lo metieron poniendo el autobús?",non-sexist,2021
3562,"ChaoFrenteAmplio y de paso chao partido comunista , son la escoria del mundo !!",non-sexist,2021
3563,Amigo está buenísima tu mujer!! Me encantó!! Que buen par de tetas!!! Simplemente perfecta!!,sexist,2021
3564,"Cleo no se podía perder el SUMMERWITHCHARMIST así que como la buena fan que es de estas chicas, se fue con su botecito de frutas y su cartelito de SummerWithKyoka que lleva en la carterita. ¡Mucha suerte, preciosas! CHARMISTAKESUMMER.",non-sexist,2021
3565,Te chupo el culo asta que pidas a gritos que te la ponga así miramos a tu marido como se pajea,sexist,2021
3566,"Jajajaja das risa. Estaría padre que salieras del clóset, igual y así se te quita la ira. Tú homosexualidad reprimida, aunado a tu IQ lamentable, se evidencia en tu coraje. Ojalá encuentres un hombre que te haga feliz.",sexist,2021
3567,"La capacidad, el valor y el compromiso social de esta extraordinaria mujer no está en duda. ¡Que orgulloso me hace sentir como dominicano, Dios la bendiga y la libre de todo mal!",non-sexist,2021
3568,"ESPECIAL: Patrimonio del cine colombiano (11 de 35).MARÍA CANO (1990): Se nos muestra como una revolucionaria, inconforme con el orden y la injusticia social, pero más allá de ser una agitadora política fue una mujer culta, carismática y rebelde.Sociedad Margarita Colombia",non-sexist,2021
3569,Lo que es indignante es que una frígida como tú se lo lleve doblado y los autónomos nos morimos de hambre.,sexist,2021
3570,"Tu sabes contar hasta 8???...8 fueron los terroristas que intentaron asesinar a 2 MUJERES y a sus novios Guardia civiles en Alsasua....1, 2, 3, 4,......",non-sexist,2021
3571,"Lo mismo pasa cuando la gran mayoría de mercantilistas (mal llamados empresarios) usan la palabra sostenibilidad. Lo mismo con tantos otros conceptos, por ejemplo, lean management, agile, scrum, innovación, disrupción, empoderamiento, y un largo etcétera.",non-sexist,2021
3572,Venezuela Chantajean con el pernil que nunca han entregado a sus seguidores Hay que ser escoria para hacerlo y para aceptar,non-sexist,2021
3573,mi madre tiene que estar hasta la polla de que le enseña fotos de córdoba,non-sexist,2021
3574,Chicas estamos en la casa de fumando Marihuana en directo lleguen,non-sexist,2021
3575,Grandísimos hijos de puta. Seguro que ni multa les ponen. Esa vaina es bien ilegal. Le pudieron haber quemado una cortina a alguien. Y obvio además el trauma a las mascotas alrededor.,non-sexist,2021
3576,Puta que pariu hein Green Bay Packers...,non-sexist,2021
3577,El hembrismo está fuerte.,sexist,2021
3578,"animo polo, honestamente mejor has una cuenta nueva, FB te va a traer como raton loco y no te va a solucionar nada, avisa aca en tw para seguirte, FB esta muy nenaza con la censura",non-sexist,2021
3579,Soy roja pero su fuera buen capitán cuidaría a sus elementos ahí está entonces cuál es el problema si siente muy seguro porque se enoja egoísta y si se fracturó el equipo que se retire el y su mujer sumisa porque todo fue democrático fuerapato,sexist,2021
3580,"Acabo de ver las ilustraciones que tienen indignada a mucha gente.Me parece que están jodiendo por joder, que en ocasiones el man ilustra cosas que le dicen otras mujeres y ustedes no saben leer y creen que se lo inventó todo él",non-sexist,2021
3581,Están todos los días en la TV. Tienen mucho tirón mediático.¿Realmente juegan en desventaja?¿o es victimismo?,non-sexist,2021
3582,Si pidió opiniones y tu opinaste no es mansplaining. Si no le gustó tu opinión podía debatir... no buscar incendiar.,non-sexist,2021
3583,lleve mi dona a la sucursal y las señoritas igual de ofendidas por la promoción de 70 pesos una dona y no me pueden hacer la devolución y dejé abandonada la dona más cara que han vendido.,non-sexist,2021
3584,Eso es manspreading ¿no?,non-sexist,2021
3585,Y a azotar a mujeres hasta que sangren,sexist,2021
3586,Notallmen: me siento mal de no haber podido satisfacerte...Yo: Wey!... No te des tanta importancia se necesita muchísimo más que tú pito para que yo esté SATISTECHA! Lunes FelizInicioDeSemana,sexist,2021
3587,MENSAJE DE EMPODERAMIENTO Y ACCION HOY CON LEGENDARIO ALEXIS ADAME DIC 7 vía,non-sexist,2021
3588,El ser humano remplazó la religión con la política.Ya no cree en Dios pero se deja sodomizar de politiqueros ansiosos de poder.,non-sexist,2021
3589,"buen dia como estas me pareces una doncella digna de cuento de hadas y querria hacerte una propuesta indecente, invitarte a mi humilde hogar en el horario que mejor se acomode a ti. saludos cordiales bella damisela que ganas de comerte la concha puta",sexist,2021
3590,"— Y ahí estaba, justo lo que quería escuchar, cada una de esas palabras ¿como conseguía comprenderle tan bien sin necesidad de ponerlo todo patas arriba como siempre le pasaba?... Se notaba a millas cuando un hombre ha sido curtido por el tiempo, la madurez y la sensatez. (+)",non-sexist,2021
3591,No mezclen un equipo Cona escoria de morena también,non-sexist,2021
3592,"Así Claudio Fermín ""gane"" como fraudediputado, en su finitud será un perdedor y está dentro de los políticos menos dignos. Lo malo para Venezuela es que la carrera de los políticos termina con su muerte y hasta sus últimos días pueden fregar a los ciudadanos.",non-sexist,2021
3593,"Parte de la idiosincrasia es pensar que todas las mujeres son unas santas, que cuando hacen algo mal, fue por la culpa de un hombre o fue orillada a realizarlo. Cinismo",sexist,2021
3594,"Niño, deja a mi perro dormir",non-sexist,2021
3595,Esteban Echeverría: un asesino al volante atropelló a una mujer que circulaba en bicicleta. El conductor escapó sin asistirla. Iris esta viva de milagroNOTICIAS 1 MINUTO Radio 1LAGENTESIEMPRE,non-sexist,2021
3596,MeToo ;) pero nos van a hacer alcoholicos =(,non-sexist,2021
3597,"Creo que algún abogado de Derechos Humanos debe interponer una demanda, por el daño que puede causar su video a las jóvenes y mujeres de este país y del mundo por difundir un video dañino a la salud pública mundial",non-sexist,2021
3598,"La perspectiva d la salud es importante pero también hay que saber que hay que cogerla con pinzas por años de androcentrismo. No dejarla de aplicar, sino cambiarla donde no hace ningún bien comparto artículo que reflexiona sobre esta falta en p. de salud",non-sexist,2021
3599,"Pero esto no tiene correlacion con el plazo fijo uva. Si es verdad esta reprimida la inflacion, el UVA te refleja la inflacion actual; cuando la inflacion deje de estar reprimida y se dispare se va a ver reflejado en el indice UVA",non-sexist,2021
3600,Esa jovencita tiene tanto que enseñarme. Mas que a mi edad he sido muy reprimida. Debo soltarme más a los verdaderos placeres de la vida,non-sexist,2021
3601,De quiénes hablas??Hice un tuit hacia una persona pública.Te metistes en medio con el único argumento para defenderla de el insulto hacia mí.Y ahora hablas de conspiraciones?Soy una mujer libre que expreso mi opinión y punto.,non-sexist,2021
3602,"Bon dia!!!Som-hi! aamb l'endevinalla adivinanza núm.764Bien d marfil,bien d goma ymuchas veces d astaxa embellecer sirvoa mujeres y hombres.Tengo dientes sin tener boca ytrabajo en un laberinto...Què és?Normes:",non-sexist,2021
3603,"Señora vaya a fregar la loza que ud no tiene nada que hacer aquí, como si lucrarse de todo esto fuera más grave que lo que usted y su hija han estado haciendo contra Dalas y Javi, yo es que me descojono",sexist,2021
3604,Mujer al Volante!!!!,sexist,2021
3605,"Para el decirle a mujeres drog*dict*, que 1 una vende su cuerpo (insinuando pr*stitut*) y la otra de feminazi, ese es ""batalla cultural"" , pero cuando una feminista real ataca con una noticia falsa a Javi, esa hay que apoyarla... La hipotenusa.",sexist,2021
3606,va a hablar sobre persona invitada tipo la sorpresa (perdon no se como traducirlo a español jaksjak) ahora hablo de mark y mark dijo que estaba en el sotano jkasjks dijo que michael es su mejor amigo y se rio y ahora le esta diciendo que diga una parte de señorita de camila para+,non-sexist,2021
3607,Las arbitras tienen que ser una gordas culias feas para que las feministas se sientan representadas jajaj,sexist,2021
3608,"Yo cada día alucino más con que alguien no valore lo que tiene al lado.Rosalinda es una persona lindísima,tanto por fuera,q se ve a la legua, como por dentro y el p*to inútil de la garrapata con pelusilla lleva DIEZ AÑOS sin saber cómo valorar y empoderar a esta pedazo de mujer.",non-sexist,2021
3609,"LoÚltimo | Comisionado Mauricio Arriaza Chicas ha presentado su renuncia al cargo de viceministro Ad Honorem de a la , anuncia abogado defensor Nahum Martínez.",non-sexist,2021
3610,Esa “asamblea” se lo merece,non-sexist,2021
3611,"exacto, yo como feminista que soy, y que he aprendido de varias mujeres en mi vida que me han ayudado a ejercer el tema con inteligencia comparto mi opinión, y creeme que con el paso del tiempo la definición del feminismo se ha ido distorsionando o incluso creando ramas de esta",non-sexist,2021
3612,"ENRUMBAO EN LA CASA COMO EN DISCOTECA QUÉ? CHOCHA, CULO, TETAS",sexist,2021
3613,Sin paños tibios por ser mujer,non-sexist,2021
3614,"rebelde, español, soda stereo, mujer fuerte e decidida",non-sexist,2021
